,ENTREZID,SYMBOL
1,5605,MAP2K2
2,728661,SLC35E2B
3,984,CDK11B
4,22933,SIRT2
5,6659,SOX4
6,23294,ANKS1A
7,57799,RAB40C
8,171558,PTCRA
9,987,LRBA
10,9570,GOSR2
11,10425,ARIH2
12,2060,EPS15
13,255057,CBARP
14,1453,CSNK1D
15,10469,TIMM44
16,23215,PRRC2C
17,9274,BCL7C
18,9117,SEC22C
19,11332,ACOT7
20,84300,UQCC2
21,10626,TRIM16
22,80115,BAIAP2L2
23,4642,MYO1D
24,10498,CARM1
25,23526,ARHGAP45
26,56957,OTUD7B
27,9181,ARHGEF2
28,23101,MCF2L2
29,23131,GPATCH8
30,8891,EIF2B3
31,865,CBFB
32,7064,THOP1
33,9900,SV2A
34,433,ASGR2
35,4125,MAN2B1
36,9138,ARHGEF1
37,55746,NUP133
38,3645,INSRR
39,170691,ADAMTS17
40,7297,TYK2
41,8521,GCM1
42,467,ATF3
43,440354,SMG1P2
44,552900,BOLA2
45,613038,LOC613038
46,79153,GDPD3
47,249,ALPL
48,22907,DHX30
49,6899,TBX1
50,348254,CCDC144CP
51,3613,IMPA2
52,23406,COTL1
53,84465,MEGF11
54,4660,PPP1R12B
55,5527,PPP2R5C
56,153020,RASGEF1B
57,79155,TNIP2
58,4775,NFATC3
59,26038,CHD5
60,8570,KHSRP
61,57165,GJC2
62,8417,STX7
63,8826,IQGAP1
64,54938,SARS2
65,10212,DDX39A
66,10025,MED16
67,9028,RHBDL1
68,55052,MRPL20
69,57690,TNRC6C
70,6942,TCF20
71,7158,TP53BP1
72,5725,PTBP1
73,23536,ADAT1
74,400500,BCAR4
75,2762,GMDS
76,2946,GSTM2
77,9019,MPZL1
78,57630,SH3RF1
79,5023,P2RX1
80,27123,DKK2
81,4650,MYO9B
82,6625,SNRNP70
83,6875,TAF4B
84,57685,CACHD1
85,51533,PHF7
86,9361,LONP1
87,79066,METTL16
88,79726,WDR59
89,3036,HAS1
90,9742,IFT140
91,11277,TREX1
92,84126,ATRIP
93,965,CD58
94,79883,PODNL1
95,7266,DNAJC7
96,80164,PRR36
97,9098,USP6
98,79858,NEK11
99,221472,FGD2
100,9814,SFI1
101,51009,DERL2
102,23028,KDM1A
103,57381,RHOJ
104,6198,RPS6KB1
105,84978,FRMD5
106,1600,DAB1
107,23357,ANGEL1
108,5797,PTPRM
109,51586,MED15
110,4649,MYO9A
111,23331,TTC28
112,2204,FCAR
113,9545,RAB3D
114,1748,DLX4
115,60487,TRMT11
116,54971,BANP
117,29911,HOOK2
118,84561,SLC12A8
119,23543,RBFOX2
120,285782,CAGE1
121,55152,DALRD3
122,80063,ATF7IP2
123,23312,DMXL2
124,100129931,LOC100129931
125,257236,CCDC96
126,54856,GON4L
127,23354,HAUS5
128,2130,EWSR1
129,259282,BOD1L1
130,9322,TRIP10
131,51763,INPP5K
132,513,ATP5F1D
133,2033,EP300
134,10036,CHAF1A
135,100128288,LOC100128288
136,84331,MCRIP2
137,5988,RFPL1
138,285231,FBXW12
139,65249,ZSWIM4
140,7771,ZNF112
141,84033,OBSCN
142,200081,TXLNA
143,1258,CNGB1
144,10180,RBM6
145,55764,IFT122
146,11240,PADI2
147,80746,TSEN2
148,53615,MBD3
149,6397,SEC14L1
150,5678,PSG9
